nbhd_id,nearest_school,historic,hoa,poverty_rate,unemployment_rate,disorder_level,assaults
1,North HS,No,No,0.084059442049312,0.181978533103149,Moderate,0
2,North HS,No,No,0.377539510612849,0.529852688421793,Very High,5
3,Charter Academy,No,No,0.254012410860346,0.277139698456798,Moderate,3
4,East HS,Yes,Yes,0.270184720158403,0.254427894426938,Moderate,2
5,North HS,No,Yes,0.352226903729493,0.238883590108499,Moderate,4
6,East HS,No,Yes,0.236417212893305,0.361297284484695,Moderate,0
7,Central HS,No,No,0.0831869353173092,0.166456114636199,Low,0
8,East HS,Yes,Yes,0.211050564892927,0.413681931174949,Moderate,0
9,North HS,No,Yes,0.236856526421182,0.283289201248228,High,1
10,Charter Academy,No,No,0.220557353929561,0.162603117318586,Moderate,1
11,North HS,No,Yes,0.219115739930349,0.196503072966116,Moderate,0
12,West HS,No,Yes,0.201472616811513,0.326358745581822,Low,0
13,Central HS,No,Yes,0.298530354337691,0.181895114891304,High,0
14,North HS,Yes,No,0.37651103588135,0.207260511873265,Moderate,0
15,North HS,No,Yes,0.548364021132837,0.358471538012361,High,1
16,East HS,Yes,No,0.581976855304026,0.245179493229053,Moderate,1
17,North HS,No,No,0.292707270311244,0.221678831347365,Moderate,1
18,East HS,No,Yes,0.195479484240787,0.227604800517154,Moderate,0
19,West HS,No,No,0.178995349911585,0.079040868571504,Moderate,0
20,Charter Academy,No,No,0.593558866793458,0.275089861367905,High,2
21,Central HS,No,No,0.356977426796119,0.317810492985283,Moderate,3
22,Central HS,No,No,0.360582264422194,0.322437034936423,High,0
23,East HS,No,Yes,0.371942792599951,0.425251312082851,High,2
24,Charter Academy,Yes,No,0.680672047570956,0.412199448531402,High,2
25,East HS,Yes,Yes,0.34808138475156,0.293392246131132,Moderate,3
26,Central HS,Yes,No,0.177287382607068,0.18441185651383,Low,0
27,North HS,Yes,No,0.366786098456547,0.305588855612522,Moderate,2
28,Charter Academy,Yes,No,0.155783373925575,0.33258249450906,Moderate,0
29,West HS,No,No,0.434526644072611,0.263417677187797,High,3
30,Central HS,No,No,0.207088012319325,0.221612955310954,Moderate,0
31,North HS,No,Yes,0.143424608858264,0.0992595139886348,Low,0
32,Central HS,No,No,0.0616746922110704,0.146380973746984,Low,0
33,East HS,No,No,0.110243091330974,0.17378301698292,Low,0
34,Central HS,No,Yes,0.244674898818474,0.130618615222518,Moderate,0
35,East HS,No,No,0.314521412068309,0.254827546372305,Moderate,1
36,Central HS,No,Yes,0.342581379386978,0.331856970615909,Moderate,0
37,West HS,No,No,0.390259962734864,0.232517807014129,Moderate,2
38,Charter Academy,No,Yes,0.0965638619149491,0.204507569773352,Low,0
39,Central HS,No,Yes,0.0430538832602779,0.245800784879052,Low,1
40,East HS,Yes,No,0.521101998839035,0.256090634594363,Moderate,2
41,North HS,No,No,0.088892653504362,0.240010856267645,Moderate,0
42,North HS,No,No,0.419058230964901,0.324379626228467,High,1
43,Charter Academy,No,Yes,0.575943601886946,0.412565964738812,High,2
44,Charter Academy,No,No,0.334349436074822,0.265287711113464,High,0
45,Charter Academy,Yes,Yes,0.210895148637746,0.157498912783561,Low,0
46,North HS,No,No,0.10828416845156,0.211695412010503,Low,1
47,North HS,No,Yes,0.101276154455142,0.273637289971686,Moderate,0
48,North HS,No,No,0.0768323231800607,0.0824353585055698,Low,0
49,Charter Academy,No,Yes,0.320991546398293,0.430605985309817,High,1
50,East HS,Yes,Yes,0.524018014764994,0.305110033365512,Moderate,1
51,North HS,No,No,0.28668852325529,0.222853415498138,Moderate,0
52,Central HS,No,Yes,0.457875220116161,0.200278855045929,Moderate,1
53,West HS,No,No,0.426395030331493,0.204339094048972,Moderate,7
54,West HS,Yes,No,0.371154032100375,0.263730372916353,High,6
55,Central HS,No,No,0.434880659793736,0.344213803658447,High,0
56,Charter Academy,Yes,No,0.388148198282624,0.291681753467997,High,0
57,Charter Academy,No,No,0.453652959648145,0.2127884041295,High,3
58,Central HS,No,No,0.348078848363752,0.13869411783356,Moderate,2
59,Central HS,Yes,Yes,0.15587549432965,0.141794367026444,Low,3
60,Central HS,No,Yes,0.369529914831599,0.186781704246019,High,1
61,North HS,No,No,0.410133855793259,0.378784909130375,High,2
62,North HS,No,Yes,0.0823037742661021,0.332360330292466,Moderate,1
63,West HS,Yes,No,0.342863076775352,0.162723346956981,Moderate,0
64,Central HS,No,Yes,0.39939534490983,0.230381044279528,Moderate,3
65,East HS,Yes,No,0.241224684011565,0.31296677684915,Moderate,1
66,Central HS,No,No,0.0800854084667025,0.0812562904100476,Low,1
67,Charter Academy,No,Yes,0.0326996214104235,0.155542707537926,Low,0
68,West HS,Yes,No,0.233390162896655,0.301330613240536,Low,1
69,Central HS,Yes,Yes,0.346418347534797,0.374230808180126,Moderate,2
70,West HS,No,No,0.306466248661141,0.199933501077356,Low,1
71,Central HS,No,Yes,0.4944260291935,0.246847862845555,Very High,2
72,West HS,No,Yes,0.205273207947522,0.416376314096844,Moderate,2
73,North HS,No,Yes,0.279557296347189,0.207421281676202,Moderate,1
74,North HS,No,No,0.35106330419313,0.228541265706256,Moderate,0
75,Central HS,No,Yes,0.478592048052237,0.269410530475547,Moderate,2
76,North HS,No,Yes,0.221340884970139,0.204395037234507,Low,0
77,North HS,No,No,0.198068936973908,0.255973144305818,Low,0
78,East HS,No,Yes,0.515670576214792,0.310476557920133,High,0
79,West HS,No,No,0.283239079491742,0.156416425672597,Moderate,0
80,West HS,No,Yes,0.190668027460528,0.38426310978947,Moderate,0
81,West HS,No,No,0.0809159788201566,0.118396551322432,Low,0
82,Charter Academy,No,No,0.225994722909015,0.199980872925102,Moderate,0
83,West HS,No,No,0.480493271012424,0.228401870036123,Moderate,6
84,Charter Academy,No,Yes,0.262229960743164,0.207619221807341,Moderate,2
85,North HS,No,Yes,0.451897579139642,0.381983163902164,Very High,0
86,North HS,No,No,0.532125622081194,0.238925701307032,High,3
87,Central HS,No,Yes,0.233843677814305,0.271599624192433,Moderate,0
88,Charter Academy,No,Yes,0.32623315886884,0.459715408409771,Very High,1
89,West HS,No,Yes,0.420269915629198,0.279585323693871,Moderate,1
90,Central HS,Yes,No,0.205632787324562,0.208555157210962,Moderate,1
91,North HS,No,No,0.43848858811863,0.257889302835048,High,0
92,Central HS,Yes,Yes,0.157902582897355,0.187359445388361,Low,0
93,Central HS,Yes,No,0.11051431334652,0.201538174268341,Low,1
94,East HS,No,No,0.203878887649907,0.133443893495736,Moderate,0
95,West HS,No,No,0.692268024098854,0.292333476273188,Moderate,6
96,Charter Academy,No,No,0.156908737117826,0.317109170703148,Moderate,1
97,Central HS,Yes,No,0.533680577523089,0.380067197336365,High,4
98,North HS,No,No,0.593557541663741,0.629260586257323,Very High,7
99,North HS,No,Yes,0.228269573013584,0.140669981850709,Moderate,0
100,Central HS,Yes,Yes,0.538018970386064,0.586106545993793,High,4
101,East HS,No,No,0.0145028162044967,0.0785474630853923,Low,0
102,North HS,No,No,0.480869873715203,0.247255180284508,High,2
103,Central HS,No,No,0.101586646372933,0.0998437714623613,Moderate,1
104,East HS,No,Yes,0.106342725346743,0.167287562931665,Low,1
105,West HS,No,Yes,0.129752966075272,0.349606236025997,Moderate,1
106,North HS,No,No,0.542114247311325,0.339632007036949,High,2
107,East HS,Yes,No,0.224584461090552,0.110882845109197,Moderate,1
108,West HS,No,Yes,0.297732823101781,0.314479023433675,Moderate,0
109,Central HS,No,Yes,0.388659164510804,0.251722980629487,Moderate,0
110,North HS,Yes,No,0.17146782262848,0.108205979670457,Low,0
111,East HS,No,Yes,0.180173586218831,0.364073942380415,Moderate,0
112,West HS,No,No,0.411559515744336,0.241606120222247,Moderate,0
113,West HS,No,Yes,0.14278696727747,0.302341743569143,Low,2
114,West HS,No,No,0.358069717231553,0.254589795162644,High,3
115,Charter Academy,No,No,0.363186743782962,0.35161597578938,Very High,2
116,Charter Academy,No,Yes,0.422590584304534,0.351502975155939,High,2
117,West HS,No,No,0.317112413389483,0.184837360692099,Moderate,1
118,Central HS,No,No,0.237558804790953,0.150004273635135,Moderate,0
119,Central HS,No,Yes,0.415627802960665,0.268503917825472,Moderate,3
120,East HS,Yes,No,0.0691686038167127,0.209452429502839,Low,3
121,West HS,No,No,0.452357846138309,0.220416614807876,High,4
122,North HS,Yes,No,0.207753257121772,0.363725982039067,Low,0
123,West HS,No,No,0.523748435938984,0.545741126527265,High,6
124,East HS,No,No,0.169670000818585,0.228368331070362,Moderate,1
125,East HS,No,No,0.155686296452392,0.479153599928739,Moderate,0
126,West HS,Yes,No,0.0827270072318202,0.0459001291846544,Low,0
127,East HS,No,Yes,0.671005413650429,0.411573697621613,Very High,2
